# BEGIN YODA_HISTO1D /MC/untitled
Path=/MC/untitled
ScaledBy=1.0
Title=
Type=Histo1D
# ID	ID	sumw	sumw2	sumwx	sumwx2	numEntries
Total	Total	9.878426e+03	1.258160e+04	8.238796e+07	1.047867e+08	20000
Underflow	Underflow	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0
Overflow	Overflow	1.461942e+01	1.174601e+00	1.422252e+05	1.142748e+04	217
# xlow	xhigh	sumw	sumw2	sumwx	sumwx2	numEntries
8.592570e+03	8.619930e+03	1.729383e+02	1.622095e+02	1.488473e+06	1.396130e+06	202
8.619930e+03	8.647290e+03	1.454456e+02	1.268747e+02	1.255553e+06	1.095165e+06	184
8.647290e+03	8.674650e+03	1.324388e+02	1.004556e+02	1.147060e+06	8.700409e+05	194
8.674650e+03	8.702010e+03	1.110965e+02	6.953468e+01	9.652475e+05	6.041549e+05	192
8.702010e+03	8.729370e+03	1.072940e+02	6.383261e+01	9.351794e+05	5.563267e+05	199
8.729370e+03	8.756730e+03	7.655664e+01	3.952904e+01	6.693278e+05	3.455830e+05	164
8.756730e+03	8.784090e+03	9.157278e+01	4.667156e+01	8.031157e+05	4.093105e+05	200
8.784090e+03	8.811450e+03	7.052180e+01	3.188979e+01	6.204891e+05	2.805868e+05	171
8.811450e+03	8.838810e+03	8.008252e+01	3.457987e+01	7.067811e+05	3.051912e+05	206
8.838810e+03	8.866170e+03	6.796003e+01	2.680272e+01	6.016063e+05	2.372594e+05	195
8.866170e+03	8.893530e+03	5.569025e+01	2.005386e+01	4.945200e+05	1.780751e+05	174
8.893530e+03	8.920890e+03	4.369311e+01	1.330440e+01	3.891835e+05	1.185025e+05	159
8.920890e+03	8.948250e+03	6.042052e+01	1.825028e+01	5.397942e+05	1.630459e+05	224
8.948250e+03	8.975610e+03	4.959199e+01	1.485447e+01	4.444387e+05	1.331237e+05	187
8.975610e+03	9.002970e+03	4.796852e+01	1.325684e+01	4.311653e+05	1.191527e+05	197
9.002970e+03	9.030330e+03	4.717384e+01	1.179828e+01	4.253535e+05	1.063824e+05	210
9.030330e+03	9.057690e+03	4.711990e+01	1.131217e+01	4.261834e+05	1.023142e+05	223
9.057690e+03	9.085050e+03	3.727786e+01	8.168525e+00	3.381512e+05	7.409399e+04	191
9.085050e+03	9.112410e+03	3.538164e+01	7.286300e+00	3.219117e+05	6.628989e+04	194
9.112410e+03	9.139770e+03	3.516000e+01	7.013512e+00	3.208588e+05	6.400066e+04	202
9.139770e+03	9.167130e+03	3.566121e+01	6.895277e+00	3.263985e+05	6.310659e+04	213
9.167130e+03	9.194490e+03	3.111230e+01	5.525461e+00	2.856479e+05	5.073003e+04	198
9.194490e+03	9.221850e+03	2.910768e+01	5.082462e+00	2.680142e+05	4.679747e+04	193
9.221850e+03	9.249210e+03	2.357812e+01	3.792281e+00	2.177595e+05	3.502364e+04	168
9.249210e+03	9.276570e+03	2.302381e+01	3.454716e+00	2.132926e+05	3.200265e+04	176
9.276570e+03	9.303930e+03	2.727227e+01	4.005915e+00	2.533538e+05	3.721247e+04	214
9.303930e+03	9.331290e+03	2.460264e+01	3.298416e+00	2.292325e+05	3.073259e+04	209
9.331290e+03	9.358650e+03	2.134488e+01	2.950175e+00	1.994849e+05	2.757068e+04	181
9.358650e+03	9.386010e+03	2.122108e+01	2.771646e+00	1.988961e+05	2.597680e+04	189
9.386010e+03	9.413370e+03	2.174113e+01	2.601732e+00	2.043491e+05	2.445441e+04	209
9.413370e+03	9.440730e+03	1.930580e+01	2.198153e+00	1.820188e+05	2.072384e+04	196
9.440730e+03	9.468090e+03	1.789858e+01	2.018992e+00	1.692198e+05	1.908839e+04	186
9.468090e+03	9.495450e+03	1.786605e+01	1.846550e+00	1.694030e+05	1.750812e+04	200
9.495450e+03	9.522810e+03	1.649658e+01	1.802986e+00	1.568644e+05	1.714415e+04	176
9.522810e+03	9.550170e+03	1.574527e+01	1.559440e+00	1.501697e+05	1.487330e+04	187
9.550170e+03	9.577530e+03	1.500285e+01	1.441885e+00	1.434905e+05	1.379070e+04	182
9.577530e+03	9.604890e+03	1.653550e+01	1.519109e+00	1.585886e+05	1.456956e+04	212
9.604890e+03	9.632250e+03	1.643802e+01	1.442231e+00	1.581234e+05	1.387371e+04	220
9.632250e+03	9.659610e+03	1.431902e+01	1.215718e+00	1.381421e+05	1.172893e+04	200
9.659610e+03	9.686970e+03	1.490690e+01	1.284677e+00	1.441974e+05	1.242657e+04	207
9.686970e+03	9.714330e+03	1.538821e+01	1.234089e+00	1.492807e+05	1.197140e+04	228
9.714330e+03	9.741690e+03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0
# END YODA_HISTO1D
